year,species,lc.doy,lf.doy,sd.lc.doy,sd.lf.doy
1995,KAAN,272,299,10.6940175720532,11.0581164161656
1996,KAAN,282,297,2.28742680186338,3.47780402876198
1997,KAAN,281,298,2.77441002413078,1.79845012682246
1998,KAAN,281,295,3.37443330706803,7.01069290443211
1999,KAAN,286,303,1.29895344893179,4.60016089321593
2000,KAAN,282,301,5.88664902823627,1.88708334568096
2001,KAAN,276,298,1.58880478243128,2.32123461832279
1991,KALA,276,278,2.30191508713179,1.75284501175836
1992,KALA,292,292,23.4484462624884,20.6330318843589
1993,KALA,285,286,9.95081412846755,4.78384877981658
1994,KALA,264,267,5.33954548399772,3.96780290210318
1995,KALA,264,264,0.360617766684442,1.99988999945001
1996,KALA,264,269,11.8378450891196,10.9288496267214
1997,KALA,260,275,4.21318869483822,6.46710424936293
1998,KALA,249,254,2.65081072543211,6.47845222522195
1999,KALA,274,263,2.03159496980434,7.75801072119482
2000,KALA,267,254,6.22527867455861,1.85569319593752
2001,KALA,252,252,5.36265334586481,6.72783489009402
1991,LYLI,271,294,1.12118601765024,5.65859432294997
1992,LYLI,265,296,4.75659138240558,4.9324573531605
1993,LYLI,277,297,0.696937428382687,2.61118634645172
1994,LYLI,275,291,3.51453070349754,2.27417994149862
1995,LYLI,268,278,2.34752346632206,4.53106052663038
1996,LYLI,284,294,10.7256505407283,7.50868097140876
1997,LYLI,280,292,6.23515555931057,5.8734774509771
1998,LYLI,278,290,2.95086209024635,1.65044261265427
1999,LYLI,267,276,8.87772343232698,11.6415562408148
2000,LYLI,279,298,5.31726373051828,8.84488590638779
2001,LYLI,281,290,4.10377643381851,9.60377234038145
1991,NEMU,269,259,2.89645766043371,6.69906884988597
1992,NEMU,285,285,4.39674572376734,1.66896771207313
1993,NEMU,260,285,3.55284684859784,4.24390400511861
1994,NEMU,282,290,6.18866784638178,10.0360078196518
1995,NEMU,277,286,5.85009603543229,5.64644582581888
1996,NEMU,281,286,3.62816544700157,5.63124125337281
1997,NEMU,279,287,8.97885044045933,12.6816123841847
1998,NEMU,273,271,1.39485530043961,2.72595633268282
1999,NEMU,283,291,7.94582616830884,3.14894270833147
2000,NEMU,281,287,6.3394896310021,12.3660827761506
2001,NEMU,281,284,2.16062252419997,2.47347281149897
1991,NYSY,266,279,11.7697132688244,13.7716578907541
1992,NYSY,262,284,4.96889903463374,6.66181320712631
1993,NYSY,276,281,10.1135325046032,6.68073415024107
1994,NYSY,267,274,5.53777291834802,7.37098231394191
1995,NYSY,272,279,2.64172166186351,1.31975849668845
1996,NYSY,273,283,2.96001639467613,4.47337688446963
1997,NYSY,272,280,9.21959911391416,10.9488420816282
1998,NYSY,271,280,4.74741640253533,4.62592566210778
1999,NYSY,273,281,3.1462913540514,2.83680666381277
2000,NYSY,270,282,10.5000525002625,12.8558670422902
2001,NYSY,279,286,4.96979423195061,9.51660535496651
2002,NYSY,276,291,8.06558796382088,5.81076446568431
2003,NYSY,279,288,5.9877971266219,6.94377328921406
2004,NYSY,274,281,7.93885871309813,8.03441269350742
2005,NYSY,278,289,10.8692093110534,13.1740994234122
2006,NYSY,269,280,4.74179882948787,7.71047054025064
2007,NYSY,271,284,3.96999533100925,7.8838791497133
2008,NYSY,272,282,2.74079873843182,5.30174265781303
2009,NYSY,277,289,4.83001808882886,3.80300525553518
2010,NYSY,272,283,6.72968802733844,1.50141486090383
2011,NYSY,275,283,11.6779871132794,10.3238695152376
2012,NYSY,274,282,4.5687498784386,4.81367751795167
2013,NYSY,270,280,1.05554762530168,3.27823233470474
2014,NYSY,271,280,6.29005734590116,5.07549568727487
2015,NYSY,280,290,5.47129554561815,10.7638920124851
2016,NYSY,281,289,12.9795671117352,13.8786546095334
2017,NYSY,272,281,6.05437557607882,13.2169166596068
2018,NYSY,280,290,5.77347382423847,8.61375543743681
2019,NYSY,271,281,15.9437552300878,16.5236361599435
2020,NYSY,276,283,4.20101057240483,6.20513643373125
2021,NYSY,277,286,10.0790710980639,6.75188928941006
2022,NYSY,277,287,2.0965925972544,3.36052480400319
2023,NYSY,278,290,3.85498232077859,2.75729218392462
1991,PIST,277,281,3.24789961057735,4.13437729298242
1992,PIST,NA,NA,6.38586171013838,6.62636735873279
1993,PIST,284,286,4.69360503711857,6.01612019030954
1994,PIST,266,282,2.83874455396012,1.50076660939706
1995,PIST,265,278,6.99730351208763,6.53487174766167
1996,PIST,277,286,7.83409929048321,8.0902089300814
1997,PIST,273,284,8.03344645853654,9.71692123610606
1998,PIST,275,286,10.8464605320685,16.4196359845558
1999,PIST,288,291,1.28988962415814,4.30219623937147
2000,PIST,279,289,9.86478501208215,13.3868127007438
2001,PIST,263,284,4.46521230045976,4.34798167902159
1991,POTR,290,298,6.73182081918525,9.3376892168987
1992,POTR,NA,305,2.94248351439746,5.60304220245881
1993,POTR,285,294,6.39031216362898,2.00304390952839
1994,POTR,292,300,2.4689264441572,3.12128140292289
1995,POTR,295,305,4.05466992971125,8.41201614265094
1996,POTR,290,298,4.85129496861822,4.12169601610662
1997,POTR,294,303,0.965942013658031,3.14832732339489
1998,POTR,288,296,6.66522184374509,7.75918606398056
1999,POTR,293,305,1.83116336212814,3.26641183382534
2000,POTR,288,301,7.77583388154429,9.29617725996135
2001,POTR,296,298,10.0176410004869,10.0062010675345
1991,PRSE,284,293,2.97951530046847,4.93400529937979
1992,PRSE,289,301,9.6457039392961,9.71718989169537
1993,PRSE,284,291,1.34530828164594,1.73637363552615
1994,PRSE,280,288,9.68290030594687,7.11551390841045
1995,PRSE,277,287,3.92165634821572,4.63602147173775
1996,PRSE,281,288,7.34588068418493,5.71127171069894
1997,PRSE,282,289,7.70332106194487,5.44393609474442
1998,PRSE,278,284,7.22735070672579,14.6079193859958
1999,PRSE,284,292,3.10373368456774,5.00196852011937
2000,PRSE,283,290,0.577353155955405,4.01189962565327
2001,PRSE,285,293,10.9070707059965,10.8579868586449
2002,PRSE,289,300,2.04564126694883,5.12974125355871
2003,PRSE,281,287,9.49880714358997,9.61692236821702
2004,PRSE,284,287,10.5117010457788,13.4729986887007
2005,PRSE,290,301,4.3426011676618,5.46795578603106
2006,PRSE,282,277,15.3547226182209,17.3078169136889
2007,PRSE,285,290,1.5000075000375,2.22286346508948
2008,PRSE,284,293,10.9280807628714,10.9004840493081
2009,PRSE,285,296,5.92961648023183,5.7838205889334
2010,PRSE,284,294,5.14946986026091,2.19490955808189
2011,PRSE,288,296,8.07833728480278,5.47635557257626
2012,PRSE,283,288,1.09201727931423,3.63865638542652
2013,PRSE,286,289,6.63408419625228,7.31004805593118
2014,PRSE,287,290,4.4085589066531,5.70737526894021
2015,PRSE,290,299,10.0625494450039,10.4936206518369
2016,PRSE,288,293,4.20250043938026,3.55871610241948
2017,PRSE,286,291,11.0780059219045,12.5360157474233
2018,PRSE,294,298,15.8448805169401,23.0895103268752
